MATCH DATE,TEAM,NAME,POSITION,TRIES,TRY ASSISTS,CONVERSION GOALS,PENALTY GOALS,DROP GOALS,POINTS,PASSES,RUNS,METERS RUN,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,TURNOVERS CONCEDED,TACKLES,MISSED TACKLES,LINEOUTS WON,PENALTIES CONCEDED,YELLOW CARDS,RED CARDS,OPPOSING TEAM
06/02/15,WALES,Leigh Halfpenny,FB,0,0,1,2,0,8,5,13,70,0,2,1,0,2,0,0,0,0,0,ENG
06/02/15,WALES,Alex Cuthbert,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENG
06/02/15,WALES,Jonathan Davies,C,0,0,0,0,0,0,5,6,8,0,1,0,2,5,3,0,0,0,0,ENG
06/02/15,WALES,Jamie Roberts,C,0,0,0,0,0,0,3,8,16,0,1,0,0,7,1,0,1,0,0,ENG
06/02/15,WALES,George North,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Dan Biggar,FH,0,0,0,0,1,3,19,11,29,0,2,1,0,7,2,0,0,0,0,ENG
06/02/15,WALES,Rhys Webb,SH,1,0,0,0,0,5,50,3,10,1,1,0,2,5,2,0,1,0,0,ENG
06/02/15,WALES,Gethin Jenkins,P,0,0,0,0,0,0,2,1,0,0,0,0,0,12,1,0,2,0,0,ENG
06/02/15,WALES,Richard Hibbard,H,0,0,0,0,0,0,1,8,0,0,0,1,0,9,3,10,1,0,0,ENG
06/02/15,WALES,Samson Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Jake Ball,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Alun Wyn Jones,L,0,0,0,0,0,0,1,6,2,0,1,1,1,8,2,0,0,0,0,ENG
06/02/15,WALES,Dan Lydiate,FL,0,0,0,0,0,0,1,3,1,0,0,0,0,15,1,0,2,0,0,ENG
06/02/15,WALES,Sam Warburton,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Toby Faletau,N8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Scott Baldwin,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Paul James,R,0,0,0,0,0,0,1,3,2,0,1,0,0,2,0,0,0,0,0,ENG
06/02/15,WALES,Aaron Jarvis,R,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Luke Charteris,R,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,1,0,0,ENG
06/02/15,WALES,Justin Tipuric,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Mike Phillips,R,0,0,0,0,0,0,18,1,0,0,0,0,0,2,1,0,0,0,0,ENG
06/02/15,WALES,Rhys Priestland,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,WALES,Liam Williams,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG
06/02/15,ENG,Mike Brown,FB,0,1,0,0,0,0,2,17,93,0,4,0,5,0,0,0,0,0,0,WALES
06/02/15,ENG,Anthony Watson,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Jonathan Joseph,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Luther Burrell,C,0,0,0,0,0,0,6,6,26,1,1,2,2,4,2,0,0,0,0,WALES
06/02/15,ENG,Jonny May,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,George Ford,FH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Ben Youngs,SH,0,1,0,0,0,0,61,10,20,0,1,0,0,8,0,1,0,0,0,WALES
06/02/15,ENG,Joe Marler,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Dylan Hartley,H,0,0,0,0,0,0,2,4,16,0,0,0,0,6,1,6,2,0,0,WALES
06/02/15,ENG,Dan Cole,P,0,0,0,0,0,0,0,4,3,0,0,0,0,2,1,0,2,0,0,WALES
06/02/15,ENG,Dave Attwood,L,0,0,0,0,0,0,0,4,7,0,0,0,0,10,3,0,0,0,0,WALES
06/02/15,ENG,George Kruis,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,James Haskell,FL,0,0,0,0,0,0,3,13,27,1,3,0,0,9,1,0,0,0,0,WALES
06/02/15,ENG,Chris Robshaw,FL,0,0,0,0,0,0,5,7,15,0,0,1,1,26,0,0,0,0,0,WALES
06/02/15,ENG,Billy Vunipola,N8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Tom Youngs,R,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,WALES
06/02/15,ENG,Mako Vunipola,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Kieran Brookes,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Nick Easter,R,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,WALES
06/02/15,ENG,Tom Croft,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Richard Wigglesworth,R,0,0,0,0,0,0,7,1,0,0,0,0,0,1,1,0,0,0,0,WALES
06/02/15,ENG,Danny Cipriani,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
06/02/15,ENG,Billy Twelvetrees,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WALES
07/02/15,ITA,Andrea Masi,FB,0,0,0,0,0,0,10,12,27,0,0,1,3,5,1,0,0,0,0,IRE
07/02/15,ITA,Leonardo Sarto,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Michele Campagnaro,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Luca Morisi,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Luke McLean,W,0,0,0,0,0,0,8,13,38,1,2,2,1,4,0,0,1,0,0,IRE
07/02/15,ITA,Kelly Haimona,FH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Edoardo Gori,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Matias Aguero,P,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,3,0,0,IRE
07/02/15,ITA,Leonardo Ghiraldini,H,0,0,0,0,0,0,4,9,10,0,2,0,0,17,2,6,1,1,0,IRE
07/02/15,ITA,Martin Castrogiovanni,P,0,0,0,0,0,0,3,4,18,0,0,0,0,15,0,0,2,0,0,IRE
07/02/15,ITA,George Biagi,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Joshua Furno,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Alessandro Zanni,FL,0,0,0,0,0,0,0,2,13,0,0,0,1,13,0,0,1,0,0,IRE
07/02/15,ITA,Francesco Minto,FL,0,0,0,0,0,0,2,6,2,0,1,0,0,24,0,0,0,0,0,IRE
07/02/15,ITA,Sergio Parisse,N8,0,0,0,0,0,0,9,14,25,0,1,4,2,7,4,0,2,0,0,IRE
07/02/15,ITA,Andrea Manici,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Alberto De Marchi,R,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,1,0,0,IRE
07/02/15,ITA,Dario Chistolini,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Marco Fuser,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Marco Barbini,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Guglielmo Palazzani,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Tommaso Allan,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,ITA,Giambattista Venditti,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IRE
07/02/15,IRE,Rob Kearney,FB,0,0,0,0,0,0,4,12,57,1,2,1,0,5,0,0,0,0,0,ITA
07/02/15,IRE,Tommy Bowe,W,0,0,0,0,0,0,2,6,22,0,0,0,0,6,0,0,0,0,0,ITA
07/02/15,IRE,Jared Payne,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA
07/02/15,IRE,Robbie Henshaw,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA
07/02/15,IRE,Simon Zebo,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA
07/02/15,IRE,Ian Keatley,FH,0,0,1,4,0,14,22,10,24,1,1,1,1,6,1,0,0,0,0,ITA
07/02/15,IRE,Conor Murray,SH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA
