TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
WALES,06/02/15,HOME,ENG,1,16,1,0,1,2,1,80.00%,224,32,121,109,50.00%,52.00%,49.00%,42.00%,2,14,6,88,83,7,4,11,8,6,925,14,10,156,135,9,0,1,0
ENG,06/02/15,AWAY,WALES,4,21,2,0,1,3,0,67.00%,350,32,118,132,50.00%,48.00%,51.00%,58.00%,3,21,9,91,87,9,9,14,3,3,947,11,9,159,145,9,0,0,0
ITA,07/02/15,HOME,IRE,0,3,0,0,0,1,0,100.00%,241,15,144,110,42.00%,33.00%,42.00%,33.00%,1,12,12,77,76,4,3,18,7,6,878,11,7,216,198,11,0,1,0
IRE,07/02/15,AWAY,ITA,4,26,2,0,2,4,0,100.00%,351,28,192,158,58.00%,67.00%,58.00%,67.00%,5,18,5,128,126,8,8,10,7,7,913,14,12,129,117,7,0,0,0
FRA,07/02/15,HOME,SCOT,1,15,0,0,0,5,0,83.00%,418,29,156,123,49.00%,60.00%,45.00%,67.00%,4,21,19,87,81,14,14,14,2,2,893,20,18,124,112,8,0,0,0
SCOT,07/02/15,AWAY,FRA,4,8,1,0,0,1,0,33.00%,389,25,130,103,51.00%,40.00%,55.00%,33.00%,6,12,9,73,67,6,6,21,4,5,911,13,11,156,135,11,0,1,0
ENG,14/02/15,HOME,ITA,5,47,6,0,4,3,0,78.00%,530,27,155,106,53.00%,42.00%,54.00%,43.00%,9,19,10,73,71,6,5,9,7,6,947,12,11,190,164,7,0,0,0
ITA,14/02/15,AWAY,ENG,0,17,3,0,1,0,0,20.00%,285,16,154,127,47.00%,58.00%,46.00%,58.00%,11,26,9,99,94,2,0,18,5,4,881,10,7,132,113,10,0,0,0
IRE,14/02/15,HOME,FRA,4,18,0,0,0,6,0,100.00%,237,26,116,93,62.00%,33.00%,65.00%,32.00%,0,14,2,75,71,6,6,7,5,3,918,13,12,171,147,11,0,1,0
FRA,14/02/15,AWAY,IRE,1,11,1,0,0,2,0,50.00%,344,11,149,140,38.00%,68.00%,35.00%,68.00%,1,24,11,98,94,5,2,18,6,5,894,12,11,108,94,14,0,1,0
SCOT,15/02/15,HOME,WALES,1,23,2,0,2,3,0,100.00%,410,16,107,103,48.00%,47.00%,50.00%,48.00%,5,15,3,77,72,9,8,7,5,4,912,13,11,128,118,14,0,1,0
WALES,15/02/15,AWAY,SCOT,4,26,2,0,2,4,0,86.00%,406,21,132,115,52.00%,53.00%,50.00%,52.00%,6,10,6,90,83,5,2,9,4,4,926,11,8,130,115,17,0,1,0
SCOT,28/02/15,HOME,ITA,1,19,1,0,1,4,0,100.00%,438,24,136,117,45.00%,61.00%,50.00%,62.00%,4,21,14,92,89,4,2,14,3,3,901,8,6,106,97,13,0,2,0
ITA,28/02/15,AWAY,SCOT,4,22,2,1,2,1,0,50.00%,276,27,102,90,55.00%,39.00%,50.00%,38.00%,1,9,6,68,64,10,9,10,10,8,876,12,10,139,118,10,0,0,0
FRA,28/02/15,HOME,WALES,1,13,1,0,1,2,0,50.00%,382,18,129,109,23.00%,67.00%,20.00%,69.00%,6,10,19,76,74,6,4,16,3,3,914,10,10,103,93,7,0,0,0
WALES,28/02/15,AWAY,FRA,4,20,1,0,0,5,0,83.00%,257,23,116,92,77.00%,33.00%,80.00%,31.00%,4,10,7,79,74,5,5,7,11,10,923,10,10,121,111,11,0,0,0
IRE,01/03/15,HOME,ENG,4,19,1,0,1,4,0,83.00%,300,38,156,135,68.00%,51.00%,67.00%,51.00%,3,23,5,118,116,5,5,9,8,6,914,12,11,147,120,8,0,0,0
ENG,01/03/15,AWAY,IRE,0,9,0,0,0,2,1,67.00%,501,23,120,124,32.00%,49.00%,33.00%,49.00%,10,27,8,92,85,4,4,23,2,2,947,13,10,183,160,13,0,0,0
WALES,14/03/15,HOME,IRE,4,23,1,0,0,5,1,86.00%,163,22,123,92,52.00%,25.00%,52.00%,24.00%,5,17,3,85,83,6,5,8,8,7,923,8,7,272,250,13,0,2,0
IRE,14/03/15,AWAY,WALES,1,16,0,1,1,3,0,80.00%,415,11,254,188,48.00%,75.00%,48.00%,76.00%,4,22,5,175,170,4,3,14,3,3,918,12,8,122,105,11,0,0,0
ENG,14/03/15,HOME,SCOT,4,25,3,0,2,2,0,67.00%,611,24,163,128,35.00%,53.00%,41.00%,63.00%,17,27,22,78,73,6,6,17,4,3,945,15,14,137,121,10,0,0,0
SCOT,14/03/15,AWAY,ENG,0,13,1,0,1,2,0,100.00%,372,30,133,122,61.00%,47.00%,59.00%,37.00%,5,16,13,88,86,7,7,19,9,7,919,10,10,152,125,8,0,0,0
ITA,15/03/15,HOME,FRA,0,0,0,0,0,0,0,0.00%,223,24,127,94,44.00%,50.00%,46.00%,41.00%,1,3,11,63,62,7,7,24,7,5,888,19,17,127,118,17,0,0,0
FRA,15/03/15,AWAY,ITA,4,29,2,0,2,5,0,88.00%,506,26,117,113,56.00%,50.00%,54.00%,59.00%,7,9,7,75,74,7,5,23,11,9,891,12,8,91,94,11,0,0,0
