TEAM,YEAR,TOTAL POINTS,TRIES SCORED,TRY ASSISTS,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,ATTACKING 22M ENTRIES,POINTS PER 22M ENTRY,CARRIES,METERS CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,BREAKDOWN STEALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUT WON,SCRUM WIN %
ENG,2015,157,18,,12,14,76.47,,,474,2812.3,706,43,38,125,90.39,856,91,1172,310,,41,3,54,69.57
WALES,2015,146,13,,19,9,82.35,,,438,436.5,637,34,24,114,89.52,846,99,1264,406,,42,5,50,60
IRE,2015,119,8,,21,8,85.29,9,1.56,600,1686.5,883,13,16,122,88.17,738,99,1747,322,,47,5,50,62.5
FRA,2015,103,9,,16,5,63.64,,,510,2579.3,711,62,24,100,89,599,74,1298,368,,44,4,53,64.86
SCOT,2015,73,6,,11,5,88.89,,,479,1142.9,653,44,28,98,88.67,759,97,1155,383,,42,3,52,50
ITA,2015,62,8,,4,5,50,6,,425,957,631,33,11,80,90.26,778,84,1093,317,,42,1,48,60.42
WALES,2016,150,17,16,11,16,90,,,561,2175.5,786,40,29,121,90.47,835,88,1312,386,,43,3,50,63.33
ENG,2016,132,13,13,17,8,78.13,,,512,2649.9,593,35,17,119,88.93,811,101,1214,313,,50,9,55,69.39
IRE,2016,128,15,15,11,10,77.78,,,632,2354.7,908,24,21,96,92.29,969,81,1638,352,,38,6,41,62.96
SCOT,2016,122,11,11,17,8,83.33,,,488,1825.6,612,30,20,89,90.58,750,78,1128,378,,41,3,45,57.89
FRA,2016,82,7,7,13,4,70.83,,,618,2831.2,773,73,24,76,88.45,643,84,1268,331,,55,3,59,75.68
ITA,2016,79,8,8,8,6,73.68,,,586,1851.5,778,36,14,74,90.57,864,90,1365,295,,49,1,57,53.33
ENG,2017,146,16,16,14,12,76.47,,,558,3292.7,687,42,24,118,93.11,851,63,1258,223,7,47,2,51,56.86
IRE,2017,126,14,14,9,13,95.65,16,3.94,799,3637.4,1146,38,22,122,91.41,798,75,1971,234,4,59,2,67,78.95
SCOT,2017,122,14,14,10,11,84,,,579,3244.5,692,23,18,108,91.85,845,75,1242,340,10,46,5,52,55.88
FRA,2017,107,8,8,17,8,86.21,,,637,4405.9,840,67,32,91,91.22,894,86,1158,402,8,31,4,37,74.58
WALES,2017,102,8,8,16,7,88.46,,,610,3533.6,769,29,17,102,90.25,990,107,1310,293,13,56,5,60,64.52
ITA,2017,50,6,5,3,4,46.67,8,1.75,484,2019.6,557,26,14,103,86.71,933,143,1141,256,4,46,2,57,63.64
IRE,2018,160,20,20,7,18,75.76,45,15.52,790,4375,1049,33,20,106,90.95,804,80,1850,268,9,60,5,62,66.67
WALES,2018,119,13,13,10,12,88,44,14.02,563,3509.5,841,43,24,133,90.53,1013,106,1114,357,12,45,6,49,70.21
FRA,2018,108,8,7,17,6,85.19,31,14.24,639,3436.9,788,51,3,98,93.06,925,69,1195,408,22,40,4,43,62.16
ENG,2018,102,14,14,6,7,65,50,8,727,4246.9,996,34,21,115,90.14,997,109,1560,282,9,52,4,54,60
SCOT,2018,101,11,11,10,8,81.82,37,11.01,632,3886,923,38,23,110,91.49,1010,94,1304,414,22,43,2,54,71.43
ITA,2018,92,12,11,4,9,81.25,35,13.16,582,3446.6,774,43,21,95,90.6,1099,114,1220,360,11,42,5,49,65
ENG,2019,184,24,23,8,19,81.82,48,14.84,596,3788.4,757,37,29,163,88.49,1030,134,1198,283,11,44,4,49,69.57
WALES,2019,114,10,10,16,8,82.76,37,11.71,548,2699,630,29,13,132,91.22,925,89,1175,443,9,34,1,42,58.93
SCOT,2019,106,14,14,5,10,71.43,46,11.95,676,4366.3,919,30,22,115,88.98,1001,124,1419,499,11,51,1,55,75
IRE,2019,101,14,14,3,11,82.35,44,13.52,722,3786,948,18,18,106,89.43,711,84,1626,263,6,64,5,71,68.57
FRA,2019,93,12,12,5,6,55,37,12.85,581,3443.6,679,62,21,136,89.89,880,99,1098,373,13,40,6,48,80.56
ITA,2019,79,10,10,7,4,52.38,40,8.8,635,3540.4,771,30,17,104,89.16,855,104,1287,318,5,54,7,57,49.09
FRA,2020,138,17,16,9,12,75,38,17.82,538,3203.5,546,55,21,160,89.79,862,98,991,492,14,50,5,53,79.17
IRE,2020,132,17,13,7,13,74.07,48,12.2,630,3687.9,785,25,29,109,89.43,677,80,1265,286,25,54,8,54,75.61
ENG,2020,121,14,11,9,12,80.77,43,13.87,454,2526.5,588,20,14,182,90.53,784,82,1002,281,10,50,7,53,69.81
WALES,2020,119,13,12,10,12,95.65,40,12.81,633,3451.2,862,53,23,142,90.79,769,78,1178,316,12,57,3,62,63.46
SCOT,2020,77,7,6,12,3,68.18,46,6.11,553,3297.4,645,18,22,118,92.49,751,61,1172,390,16,44,3,54,67.57
ITA,2020,44,6,5,2,4,60,37,5.44,605,3491.6,805,47,20,112,88.93,771,96,1165,350,13,66,2,69,63.16
WALES,2021,164,20,12,12,14,81.25,39,19.02,511,3031.5,720,20,27,147,88.07,864,117,1036,387,7,59,4,59,92.59
FRA,2021,140,18,16,8,13,75,41,14.51,552,3552.2,651,46,33,137,89.8,836,95,876,430,16,64,4,66,81.25
SCOT,2021,138,18,10,6,15,77.78,45,14.54,705,4014.4,785,34,32,134,90.89,559,56,1392,279,12,58,7,59,71.88
IRE,2021,136,12,6,18,11,93.55,33,16.55,663,3721.8,869,18,23,151,86.24,583,93,1251,321,23,45,8,48,77.78
ENG,2021,112,12,7,12,8,80,38,19.02,511,3117.4,665,20,27,127,86.53,578,90,905,247,12,54,4,55,92.59
ITA,2021,55,6,3,5,5,90.91,35,8.29,564,3208.5,803,30,22,88,83.14,735,149,965,276,9,60,2,62,75
IRE,2022,168,24,18,4,18,73.33,56,15.04,694,4569.8,1047,39,33,126,89.44,559,66,1110,263,16,70,3,74,96
FRA,2022,141,17,15,12,10,66.67,45,14.67,496,2955.9,568,50,23,151,90.17,633,69,794,369,28,62,3,64,79.41
ENG,2022,101,8,6,17,5,81.48,38,7.37,558,3921.5,709,30,18,135,86.86,595,90,976,249,18,58,5,61,72.73
SCOT,2022,92,11,9,7,7,82.35,36,12.13,581,4219.2,777,28,29,126,88.92,666,83,1087,286,21,67,4,70,64.52
WALES,2022,76,8,4,7,6,81.25,38,9.19,617,3783.6,882,45,17,141,88.66,766,98,1101,431,16,56,4,56,80
ITA,2022,60,5,5,9,4,72.22,35,5.86,468,3022.3,648,29,20,169,86.42,827,130,933,250,20,57,3,61,92.5
FRA,2023,174,21,17,10,18,84.85,50,15.16,558,3590.1,628,45,34,156,89.03,820,101,829,382,15,47,4,49,75
IRE,2023,151,20,17,7,15,81.48,53,13.52,696,4285.7,897,30,39,153,85.33,704,121,1236,327,22,60,8,60,72.41
SCOT,2023,118,17,15,3,12,75,41,14.11,621,3989.2,851,40,26,129,91.72,831,75,1036,331,11,58,7,58,75.76
ENG,2023,100,13,9,7,6,61.9,45,9.27,615,3523.3,743,21,16,170,82.92,704,145,1153,264,18,61,,61,78.79
ITA,2023,89,9,4,10,6,80,42,8.9,649,3911.6,974,36,29,107,84.77,690,124,1023,246,11,70,2,71,76.92
WALES,2023,84,11,6,3,9,80,50,8.42,594,3250.7,774,46,19,146,84.03,742,141,1048,388,16,56,5,57,67.74
IRE,2024,144,19,14,7,14,75,48,,685,3944.2,1018,37,36,144,86.5,660,103,1235,331,14,61,5,62,81.25
FRA,2024,128,13,9,13,12,89.29,43,,585,3338.7,736,45,27,141,88.58,613,79,990,275,11,58,3,60,84
ENG,2024,118,13,11,11,7,69.23,48,,473,2895.7,638,18,28,151,84.28,622,116,909,316,10,62,5,62,75
SCOT,2024,115,12,9,11,11,95.65,35,,604,3502.6,750,47,22,171,89.29,792,95,1159,344,12,46,5,46,69.05
ITA,2024,92,9,8,11,7,78.26,24,,466,2774,631,33,21,135,86.09,972,157,900,417,17,53,2,57,72.73
WALES,2024,92,13,5,1,10,91.67,38,,643,3314.7,870,22,22,143,86.31,725,115,1299,359,13,66,3,67,64.52
ENG,2025,179,25,21,4,21,83.33,49,,535,3505.8,671,29,36,183,84.35,717,133,977,363,25,67,3,69,82.86
FRA,2025,218,30,24,8,22,76.92,56,,628,4037,774,63,45,153,86.49,736,115,990,407,15,65,3,66,90.91
IRE,2025,135,17,14,10,10,66.67,49,,574,3287.9,920,28,26,143,84.1,714,135,1089,375,14,73,2,75,75
ITA,2025,106,10,8,12,10,81.48,34,,433,2674.1,581,16,25,160,85.52,839,142,842,402,11,61,1,63,75.68
SCOT,2025,115,16,13,5,10,71.43,53,,764,4876.8,1072,63,34,116,88.97,581,72,1445,338,19,75,1,76,70.37
